index row col crate slot
704 23 14 3 19
705 23 15 3 19
706 23 16 3 19
707 23 17 3 19
708 23 18 3 19
709 23 19 3 19
710 23 20 3 19
711 23 21 3 19
712 23 22 3 19
713 23 23 3 19
714 23 24 3 19
715 23 25 3 19
716 23 26 3 19
717 23 27 3 19
718 23 28 3 19
719 23 29 3 19
720 24 0 4 3
721 24 1 4 3
722 24 2 4 3
723 24 3 4 3
724 24 4 4 3
725 24 5 4 3
726 24 6 4 3
727 24 7 4 3
728 24 8 4 3
729 24 9 4 3
730 24 10 4 3
731 24 11 4 3
732 24 12 4 3
733 24 13 4 3
734 24 14 4 3
735 24 15 4 3
736 24 16 4 4
737 24 17 4 4
738 24 18 4 4
739 24 19 4 4
740 24 20 4 4
741 24 21 4 4
742 24 22 4 4
743 24 23 4 4
744 24 24 4 4
745 24 25 4 4
746 24 26 4 4
747 24 27 4 4
748 24 28 4 4
749 24 29 4 4
750 25 0 4 4
751 25 1 4 4
752 25 2 4 5
753 25 3 4 5
754 25 4 4 5
755 25 5 4 5
756 25 6 4 5
757 25 7 4 5
758 25 8 4 5
759 25 9 4 5
760 25 10 4 5
761 25 11 4 5
762 25 12 4 5
763 25 13 4 5
764 25 14 4 5
765 25 15 4 5
766 25 16 4 5
767 25 17 4 5
768 25 18 4 6
769 25 19 4 6
770 25 20 4 6
771 25 21 4 6
772 25 22 4 6
773 25 23 4 6
774 25 24 4 6
775 25 25 4 6
776 25 26 4 6
777 25 27 4 6
778 25 28 4 6
779 25 29 4 6
780 26 0 4 6
781 26 1 4 6
782 26 2 4 6
783 26 3 4 6
784 26 4 4 7
785 26 5 4 7
786 26 6 4 7
787 26 7 4 7
788 26 8 4 7
789 26 9 4 7
790 26 10 4 7
791 26 11 4 7
792 26 12 4 7
793 26 13 4 7
794 26 14 4 7
795 26 15 4 7
796 26 16 4 7
797 26 17 4 7
798 26 18 4 7
799 26 19 4 7
800 26 20 4 8
801 26 21 4 8
802 26 22 4 8
803 26 23 4 8
804 26 24 4 8
805 26 25 4 8
806 26 26 4 8
807 26 27 4 8
808 26 28 4 8
809 26 29 4 8
810 27 0 4 8
811 27 1 4 8
812 27 2 4 8
813 27 3 4 8
814 27 4 4 8
815 27 5 4 8
816 27 6 4 9
817 27 7 4 9
818 27 8 4 9
819 27 9 4 9
820 27 10 4 9
821 27 11 4 9
822 27 12 4 9
823 27 13 4 9
824 27 14 4 9
825 27 15 4 9
826 27 16 4 9
827 27 17 4 9
828 27 18 4 9
829 27 19 4 9
830 27 20 4 9
831 27 21 4 9
832 27 22 4 10
833 27 23 4 10
834 27 24 4 10
835 27 25 4 10
836 27 26 4 10
837 27 27 4 10
838 27 28 4 10
839 27 29 4 10
840 28 0 4 10
841 28 1 4 10
842 28 2 4 10
843 28 3 4 10
844 28 4 4 10
845 28 5 4 10
846 28 6 4 10
847 28 7 4 10
848 28 8 4 13
849 28 9 4 13
850 28 10 4 13
851 28 11 4 13
852 28 12 4 13
853 28 13 4 13
854 28 14 4 13
855 28 15 4 13
856 28 16 4 13
857 28 17 4 13
858 28 18 4 13
859 28 19 4 13
860 28 20 4 13
861 28 21 4 13
862 28 22 4 13
863 28 23 4 13
864 28 24 4 14
865 28 25 4 14
866 28 26 4 14
867 28 27 4 14
868 28 28 4 14
869 28 29 4 14
870 29 0 4 14
871 29 1 4 14
872 29 2 4 14
873 29 3 4 14
874 29 4 4 14
875 29 5 4 14
876 29 6 4 14
877 29 7 4 14
878 29 8 4 14
879 29 9 4 14
880 29 10 4 15
881 29 11 4 15
882 29 12 4 15
883 29 13 4 15
884 29 14 4 15
885 29 15 4 15
886 29 16 4 15
887 29 17 4 15
888 29 18 4 15
889 29 19 4 15
890 29 20 4 15
891 29 21 4 15
892 29 22 4 15
893 29 23 4 15
894 29 24 4 15
895 29 25 4 15
896 29 26 4 16
897 29 27 4 16
898 29 28 4 16
899 29 29 4 16
900 30 0 4 16
901 30 1 4 16
902 30 2 4 16
903 30 3 4 16
904 30 4 4 16
905 30 5 4 16
906 30 6 4 16
907 30 7 4 16
908 30 8 4 16
909 30 9 4 16
910 30 10 4 16
911 30 11 4 16
912 30 12 4 17
913 30 13 4 17
914 30 14 4 17
915 30 15 4 17
916 30 16 4 17
917 30 17 4 17
918 30 18 4 17
919 30 19 4 17
920 30 20 4 17
921 30 21 4 17
922 30 22 4 17
923 30 23 4 17
924 30 24 4 17
925 30 25 4 17
926 30 26 4 17
927 30 27 4 17
928 30 28 4 18
929 30 29 4 18
930 31 0 4 18
931 31 1 4 18
932 31 2 4 18
933 31 3 4 18
934 31 4 4 18
935 31 5 4 18
936 31 6 4 18
937 31 7 4 18
938 31 8 4 18
939 31 9 4 18
940 31 10 4 18
941 31 11 4 18
942 31 12 4 18
943 31 13 4 18
944 31 14 4 19
945 31 15 4 19
946 31 16 4 19
947 31 17 4 19
948 31 18 4 19
949 31 19 4 19
950 31 20 4 19
951 31 21 4 19
952 31 22 4 19
953 31 23 4 19
954 31 24 4 19
955 31 25 4 19
956 31 26 4 19
957 31 27 4 19
958 31 28 4 19
959 31 29 4 19
960 32 0 5 3
961 32 1 5 3
962 32 2 5 3
963 32 3 5 3
964 32 4 5 3
965 32 5 5 3
966 32 6 5 3
967 32 7 5 3
968 32 8 5 3
969 32 9 5 3
970 32 10 5 3
971 32 11 5 3
972 32 12 5 3
973 32 13 5 3
974 32 14 5 3
975 32 15 5 3
976 32 16 5 4
977 32 17 5 4
978 32 18 5 4
979 32 19 5 4
980 32 20 5 4
981 32 21 5 4
982 32 22 5 4
983 32 23 5 4
984 32 24 5 4
985 32 25 5 4
986 32 26 5 4
987 32 27 5 4
988 32 28 5 4
989 32 29 5 4
990 33 0 5 4
991 33 1 5 4
992 33 2 5 5
993 33 3 5 5
994 33 4 5 5
995 33 5 5 5
996 33 6 5 5
997 33 7 5 5
998 33 8 5 5
999 33 9 5 5
1000 33 10 5 5
1001 33 11 5 5
1002 33 12 5 5
1003 33 13 5 5
1004 33 14 5 5
1005 33 15 5 5
1006 33 16 5 5
1007 33 17 5 5
1008 33 18 5 6
1009 33 19 5 6
1010 33 20 5 6
1011 33 21 5 6
1012 33 22 5 6
1013 33 23 5 6
1014 33 24 5 6
1015 33 25 5 6
1016 33 26 5 6
1017 33 27 5 6
1018 33 28 5 6
1019 33 29 5 6
1020 34 0 5 6
1021 34 1 5 6
1022 34 2 5 6
1023 34 3 5 6
1024 34 4 5 7
1025 34 5 5 7
1026 34 6 5 7
1027 34 7 5 7
1028 34 8 5 7
1029 34 9 5 7
1030 34 10 5 7
1031 34 11 5 7
1032 34 12 5 7
1033 34 13 5 7
1034 34 14 5 7
1035 34 15 5 7
1036 34 16 5 7
1037 34 17 5 7
1038 34 18 5 7
1039 34 19 5 7
1040 34 20 5 8
1041 34 21 5 8
1042 34 22 5 8
1043 34 23 5 8
1044 34 24 5 8
1045 34 25 5 8
1046 34 26 5 8
1047 34 27 5 8
1048 34 28 5 8
1049 34 29 5 8
1050 35 0 5 8
1051 35 1 5 8
1052 35 2 5 8
1053 35 3 5 8
1054 35 4 5 8
1055 35 5 5 8
1056 35 6 5 9
1057 35 7 5 9
1058 35 8 5 9
1059 35 9 5 9
1060 35 10 5 9
1061 35 11 5 9
1062 35 12 5 9
1063 35 13 5 9
1064 35 14 5 9
1065 35 15 5 9
1066 35 16 5 9
1067 35 17 5 9
1068 35 18 5 9
1069 35 19 5 9
1070 35 20 5 9
1071 35 21 5 9
1072 35 22 5 10
1073 35 23 5 10
1074 35 24 5 10
1075 35 25 5 10
1076 35 26 5 10
1077 35 27 5 10
1078 35 28 5 10
1079 35 29 5 10
